entry_time,exit_time,entry_price,exit_price,pnl,type,exit_reason,duration_minutes,duration_bars
2025-04-22 13:58:00-04:00,2025-04-22 14:04:00-04:00,522.02,523.45,-143.00000000000637,SHORT,SL,6.0,6
2025-04-22 14:41:00-04:00,2025-04-22 14:53:00-04:00,525.83,526.91,107.99999999999272,LONG,TP,12.0,12
2025-04-22 15:05:00-04:00,2025-04-22 15:10:00-04:00,526.92,526.15,-76.99999999999818,LONG,SL,5.0,5
2025-04-23 09:57:00-04:00,2025-04-23 10:12:00-04:00,542.83,544.31,147.99999999999045,LONG,MAX_HOLD_BARS,15.0,15
2025-04-23 12:00:00-04:00,2025-04-23 12:06:00-04:00,537.42,536.47,94.99999999999318,SHORT,TP,6.0,6
2025-04-23 13:26:00-04:00,2025-04-23 13:29:00-04:00,539.46,538.2,-125.99999999999909,LONG,SL,3.0,3
2025-04-24 10:05:00-04:00,2025-04-24 10:19:00-04:00,539.69,540.65,95.99999999999227,LONG,TP,14.0,14
2025-04-25 13:33:00-04:00,2025-04-25 13:38:00-04:00,550.69,549.24,-145.00000000000455,LONG,SL,5.0,5
2025-04-28 11:35:00-04:00,2025-04-28 11:40:00-04:00,547.4,548.43,-102.99999999999727,SHORT,SL,5.0,5
2025-04-28 15:15:00-04:00,2025-04-28 15:22:00-04:00,549.79,550.68,88.99999999999864,LONG,TP,7.0,7
2025-04-30 10:04:00-04:00,2025-04-30 10:12:00-04:00,542.81,544.29,-148.00000000000182,SHORT,SL,8.0,8
2025-04-30 13:50:00-04:00,2025-04-30 13:51:00-04:00,550.54,550.98,44.00000000000546,LONG,TP,1.0,1
2025-05-01 10:56:00-04:00,2025-05-01 11:11:00-04:00,563.02,563.41,38.999999999998636,LONG,MAX_HOLD_BARS,15.0,15
2025-05-01 12:04:00-04:00,2025-05-01 12:08:00-04:00,560.05,561.1,-105.00000000000682,SHORT,SL,4.0,4
2025-05-01 12:11:00-04:00,2025-05-01 12:15:00-04:00,560.76,560.01,75.0,SHORT,TP,4.0,4
2025-05-01 12:25:00-04:00,2025-05-01 12:26:00-04:00,559.46,560.57,-111.00000000000136,SHORT,SL,1.0,1
2025-05-02 10:35:00-04:00,2025-05-02 10:41:00-04:00,565.84,565.03,-81.00000000000591,LONG,SL,6.0,6
2025-05-05 12:16:00-04:00,2025-05-05 12:31:00-04:00,565.54,565.21,-32.999999999992724,LONG,MAX_HOLD_BARS,15.0,15
2025-05-05 15:18:00-04:00,2025-05-05 15:22:00-04:00,565.38,564.76,62.000000000000455,SHORT,TP,4.0,4
2025-05-06 10:08:00-04:00,2025-05-06 10:09:00-04:00,557.97,558.66,-68.99999999999409,SHORT,SL,1.0,1
2025-05-08 12:13:00-04:00,2025-05-08 12:28:00-04:00,569.18,568.9,-27.99999999999727,LONG,MAX_HOLD_BARS,15.0,15
2025-05-09 10:47:00-04:00,2025-05-09 10:51:00-04:00,563.89,564.64,-75.0,SHORT,SL,4.0,4
2025-05-12 10:02:00-04:00,2025-05-12 10:15:00-04:00,579.18,580.34,116.00000000000819,LONG,TP,13.0,13
2025-05-12 13:18:00-04:00,2025-05-12 13:20:00-04:00,581.78,581.35,-42.999999999995,LONG,SL,2.0,2
2025-05-13 10:23:00-04:00,2025-05-13 10:38:00-04:00,587.14,586.84,-29.999999999995453,LONG,MAX_HOLD_BARS,15.0,15
2025-05-13 13:41:00-04:00,2025-05-13 13:52:00-04:00,588.69,588.34,-35.000000000002274,LONG,SL,11.0,11
2025-05-19 13:22:00-04:00,2025-05-19 13:34:00-04:00,595.15,595.47,32.000000000005,LONG,TP,12.0,12
2025-05-20 13:15:00-04:00,2025-05-20 13:20:00-04:00,593.75,593.43,-32.000000000005,LONG,SL,5.0,5
2025-05-20 14:41:00-04:00,2025-05-20 14:56:00-04:00,591.13,591.0,12.999999999999545,SHORT,MAX_HOLD_BARS,15.0,15
2025-05-22 13:56:00-04:00,2025-05-22 14:11:00-04:00,585.69,585.16,-53.00000000000864,LONG,MAX_HOLD_BARS,15.0,15
2025-05-27 12:21:00-04:00,2025-05-27 12:24:00-04:00,589.38,589.59,21.000000000003638,LONG,TP,3.0,3
2025-05-27 14:07:00-04:00,2025-05-27 14:22:00-04:00,590.93,590.64,-28.999999999996362,LONG,MAX_HOLD_BARS,15.0,15
2025-05-30 10:00:00-04:00,2025-05-30 10:01:00-04:00,587.01,588.19,-118.00000000000637,SHORT,SL,1.0,1
2025-05-30 10:38:00-04:00,2025-05-30 10:45:00-04:00,589.83,588.86,-97.00000000000273,LONG,SL,7.0,7
2025-05-30 14:32:00-04:00,2025-05-30 14:34:00-04:00,588.52,587.84,-67.999999999995,LONG,SL,2.0,2
2025-05-30 15:14:00-04:00,2025-05-30 15:25:00-04:00,589.61,590.57,96.00000000000364,LONG,TP,11.0,11
2025-06-02 14:37:00-04:00,2025-06-02 14:52:00-04:00,591.44,591.69,25.0,LONG,MAX_HOLD_BARS,15.0,15
2025-06-03 11:11:00-04:00,2025-06-03 11:23:00-04:00,594.63,595.01,37.999999999999545,LONG,TP,12.0,12
2025-06-04 13:21:00-04:00,2025-06-04 13:35:00-04:00,597.28,597.54,25.99999999999909,LONG,TP,14.0,14
2025-06-05 11:37:00-04:00,2025-06-05 11:41:00-04:00,598.62,598.35,-26.99999999999818,LONG,SL,4.0,4
2025-06-05 13:44:00-04:00,2025-06-05 13:46:00-04:00,596.9,596.58,-31.999999999993634,LONG,SL,2.0,2
2025-06-06 13:03:00-04:00,2025-06-06 13:18:00-04:00,597.55,598.02,-47.00000000000273,SHORT,MAX_HOLD_BARS,15.0,15
